id,Specialism,max_threshold_value,alignment_sum,alignment_sum_relative,alignment_mean,max,min
4,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
4,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
4,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
4,Secure System Development,NA,NA,NA,NA,NA,NA
4,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
4,Security Testing,NA,NA,NA,NA,NA,NA
4,Vulnerability Management,NA,NA,NA,NA,NA,NA
5,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
5,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
5,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
5,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
5,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
5,Cyber Security Management,NA,NA,NA,NA,NA,NA
5,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
5,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
5,Digital Forensics,NA,NA,NA,NA,NA,NA
5,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
5,Identity & Access Management,NA,NA,NA,NA,NA,NA
5,Incident response,NA,NA,NA,NA,NA,NA
5,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
5,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
5,Secure Operations,NA,NA,NA,NA,NA,NA
5,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
5,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
5,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
5,Secure System Development,NA,NA,NA,NA,NA,NA
5,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
5,Security Testing,NA,NA,NA,NA,NA,NA
5,Vulnerability Management,NA,NA,NA,NA,NA,NA
6,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
6,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
6,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
6,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
6,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
6,Cyber Security Management,NA,NA,NA,NA,NA,NA
6,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
6,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
6,Digital Forensics,NA,NA,NA,NA,NA,NA
6,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
6,Identity & Access Management,NA,NA,NA,NA,NA,NA
6,Incident response,NA,NA,NA,NA,NA,NA
6,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
6,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
6,Secure Operations,NA,NA,NA,NA,NA,NA
6,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
6,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
6,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
6,Secure System Development,NA,NA,NA,NA,NA,NA
6,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
6,Security Testing,NA,NA,NA,NA,NA,NA
6,Vulnerability Management,NA,NA,NA,NA,NA,NA
7,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
7,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
7,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
7,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
7,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
7,Cyber Security Management,NA,NA,NA,NA,NA,NA
7,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
7,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
7,Digital Forensics,NA,NA,NA,NA,NA,NA
7,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
7,Identity & Access Management,NA,NA,NA,NA,NA,NA
7,Incident response,NA,NA,NA,NA,NA,NA
7,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
7,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
7,Secure Operations,NA,NA,NA,NA,NA,NA
7,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
7,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
7,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
7,Secure System Development,NA,NA,NA,NA,NA,NA
7,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
7,Security Testing,NA,NA,NA,NA,NA,NA
7,Vulnerability Management,NA,NA,NA,NA,NA,NA
8,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
8,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
8,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
8,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
8,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
8,Cyber Security Management,NA,NA,NA,NA,NA,NA
8,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
8,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
8,Digital Forensics,NA,NA,NA,NA,NA,NA
8,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
8,Identity & Access Management,NA,NA,NA,NA,NA,NA
8,Incident response,NA,NA,NA,NA,NA,NA
8,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
8,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
8,Secure Operations,NA,NA,NA,NA,NA,NA
8,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
8,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
8,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
8,Secure System Development,NA,NA,NA,NA,NA,NA
8,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
8,Security Testing,NA,NA,NA,NA,NA,NA
8,Vulnerability Management,NA,NA,NA,NA,NA,NA
9,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
9,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
9,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
9,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
9,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
9,Cyber Security Management,NA,NA,NA,NA,NA,NA
9,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
9,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
9,Digital Forensics,NA,NA,NA,NA,NA,NA
9,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
9,Identity & Access Management,NA,NA,NA,NA,NA,NA
9,Incident response,NA,NA,NA,NA,NA,NA
9,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
9,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
9,Secure Operations,NA,NA,NA,NA,NA,NA
9,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
9,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
9,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
9,Secure System Development,NA,NA,NA,NA,NA,NA
9,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
9,Security Testing,NA,NA,NA,NA,NA,NA
9,Vulnerability Management,NA,NA,NA,NA,NA,NA
10,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
10,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
10,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
10,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
10,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
10,Cyber Security Management,NA,NA,NA,NA,NA,NA
10,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
10,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
10,Digital Forensics,NA,NA,NA,NA,NA,NA
10,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
10,Identity & Access Management,NA,NA,NA,NA,NA,NA
10,Incident response,NA,NA,NA,NA,NA,NA
10,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
10,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
10,Secure Operations,NA,NA,NA,NA,NA,NA
10,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
10,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
10,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
10,Secure System Development,NA,NA,NA,NA,NA,NA
10,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
10,Security Testing,NA,NA,NA,NA,NA,NA
10,Vulnerability Management,NA,NA,NA,NA,NA,NA
11,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
11,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
11,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
11,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
11,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
11,Cyber Security Management,NA,NA,NA,NA,NA,NA
11,Cyber Threat Intelligence,NA,NA,NA,NA,NA,NA
11,Data Protection & Privacy,NA,NA,NA,NA,NA,NA
11,Digital Forensics,NA,NA,NA,NA,NA,NA
11,Digital Forensics (Industrial Control Systems),NA,NA,NA,NA,NA,NA
11,Identity & Access Management,NA,NA,NA,NA,NA,NA
11,Incident response,NA,NA,NA,NA,NA,NA
11,Incident response (Industrial Control Systems),NA,NA,NA,NA,NA,NA
11,Network Monitoring & Intrusion Detection,NA,NA,NA,NA,NA,NA
11,Secure Operations,NA,NA,NA,NA,NA,NA
11,Secure Operations (Industrial control systems),NA,NA,NA,NA,NA,NA
11,Secure System Architecture & Design,NA,NA,NA,NA,NA,NA
11,Secure System Architecture & Design (Industrial Control Systems),NA,NA,NA,NA,NA,NA
11,Secure System Development,NA,NA,NA,NA,NA,NA
11,Secure System Development (Industrial Control Systems),NA,NA,NA,NA,NA,NA
11,Security Testing,NA,NA,NA,NA,NA,NA
11,Vulnerability Management,NA,NA,NA,NA,NA,NA
12,Cryptography & Communications Security (Cryptographer),NA,NA,NA,NA,NA,NA
12,Cryptography & Communications Security (Secure Communications Operator),NA,NA,NA,NA,NA,NA
12,Cyber Security Audit & Assurance,NA,NA,NA,NA,NA,NA
12,Cyber Security Governance & Risk Management,NA,NA,NA,NA,NA,NA
12,Cyber Security Governance & Risk Management (Industrial Control Systems),NA,NA,NA,NA,NA,NA
12,Cyber Security Management,NA,NA,NA,NA,NA,NA
