id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
48,Cryptography & Communications Security (Secure Communications Operator),184.50000000000003,89.76999999999998,0.48655826558265564,scenario
48,Cyber Security Audit & Assurance,380.24,288.85999999999996,0.759678098043341,scenario
48,Cyber Security Governance & Risk Management,264.06,199.01,0.7536544724683784,scenario
48,Cyber Security Governance & Risk Management (Industrial Control Systems),268.04,202.98999999999998,0.7573123414415758,scenario
48,Cyber Security Management,551.9700000000001,432.2099999999999,0.783031686504701,scenario
48,Cyber Threat Intelligence,300.68,248.01999999999998,0.824863642410536,scenario
48,Data Protection & Privacy,305.90000000000003,240.7,0.786858450474011,scenario
48,Digital Forensics,248.27999999999997,221.48999999999998,0.8920976317061382,scenario
48,Digital Forensics (Industrial Control Systems),252.25999999999996,225.46999999999997,0.8938000475699676,scenario
48,Identity & Access Management,349.51,263.48,0.7538553975565793,scenario
48,Incident response,255.96000000000004,189.17000000000002,0.7390607907485545,scenario
48,Incident response (Industrial Control Systems),259.94000000000005,193.15,0.7430560898668922,scenario
48,Network Monitoring & Intrusion Detection,155.83,132.94,0.8531091574151318,scenario
48,Secure Operations,210.43000000000004,113.63999999999999,0.5400370669581331,scenario
48,Secure Operations (Industrial control systems),214.41000000000003,117.61999999999999,0.5485751597406836,scenario
48,Secure System Architecture & Design,88.32999999999998,88.32999999999998,1,scenario
48,Secure System Architecture & Design (Industrial Control Systems),92.30999999999999,92.30999999999999,1,scenario
48,Secure System Development,88.32999999999998,88.32999999999998,1,scenario
48,Secure System Development (Industrial Control Systems),92.30999999999999,92.30999999999999,1,scenario
48,Security Testing,280.79,229.64000000000001,0.8178353929983262,scenario
48,Vulnerability Management,265.42999999999995,241.03,0.9080736917454698,scenario
49,Cryptography & Communications Security (Cryptographer),93.63999999999999,70.75,0.7555531824006836,scenario
49,Cryptography & Communications Security (Secure Communications Operator),93.63999999999999,70.75,0.7555531824006836,scenario
49,Cyber Security Audit & Assurance,175.14,168.60999999999999,0.9627155418522325,scenario
49,Cyber Security Governance & Risk Management,133.52,128.78,0.9644997004194128,scenario
49,Cyber Security Governance & Risk Management (Industrial Control Systems),144.21,139.47,0.9671312669024339,scenario
49,Cyber Security Management,308.95,276.87,0.8961644279009549,scenario
49,Cyber Threat Intelligence,122.52999999999999,103.39999999999999,0.8438749693952502,scenario
49,Data Protection & Privacy,196.24,161.5,0.8229718711781492,scenario
49,Digital Forensics,75.42999999999999,75.42999999999999,1,scenario
49,Digital Forensics (Industrial Control Systems),86.11999999999999,86.11999999999999,1,scenario
49,Identity & Access Management,163.29000000000002,161.5,0.9890379080164124,scenario
49,Incident response,151.14999999999998,113.74999999999999,0.7525636784651009,scenario
49,Incident response (Industrial Control Systems),161.83999999999997,124.43999999999998,0.7689075630252101,scenario
49,Network Monitoring & Intrusion Detection,53.169999999999995,51.379999999999995,0.9663343990972353,scenario
49,Secure Operations,140.17,105.42999999999999,0.7521580937433117,scenario
