id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
1,7.6137500000000005,7.6137500000000005,27.46,22.5,18,14.694285714285716,40.60142857142857,10.774000000000001,26.01875,23.127777777777776,10.843333333333334,36.315714285714286,31.77625,41.0525,22.24125,19.77,10.4775,9.313333333333333,10.4775,9.313333333333333,27.157142857142855,32.36833333333333
2,31.3975,31.3975,42.58833333333333,47.0225,49.618,26.642380952380954,28.352857142857143,50.656,27.173750000000002,32.65888888888889,29.016666666666666,17.984285714285715,25.30375,34.125,27.716250000000002,31.30333333333333,17.41625,23.985555555555557,17.41625,23.985555555555557,32.558571428571426,27.278333333333332
3,43.464999999999996,39.715,41.47666666666667,46.1075,48.886,29.837142857142858,52.06142857142857,20.658,44.26375,49.345555555555556,31.968888888888888,47.142857142857146,52.5,67.5,34.8575,37.65111111111111,60.55375,63.82555555555555,60.55375,63.82555555555555,64.91857142857143,65
4,44.9925,44.9925,46.04833333333333,49.955,51.964,34.09238095238096,50.88285714285714,41.236,44.81875,49.83888888888889,38.522222222222226,45.19428571428571,50.795,64.725,46.87125,48.33,37.68,43.49333333333333,37.68,43.49333333333333,45.83714285714286,52.53333333333333
5,16.885,16.885,37.9,41.605,35.48,21.65714285714286,23.444285714285712,40.266,20.62875,19.556666666666665,26.916666666666664,18.167142857142856,17.26875,22.11,22.25375,21.00111111111111,16.18375,15.605555555555556,16.18375,15.605555555555556,21.677142857142858,21.715
6,28.3625,28.3625,25.033333333333335,28.59,23.832,20.801904761904762,32.33571428571429,28.368000000000002,27.26875,24.772222222222222,31.205555555555556,24.64,22.16,40.8425,35.86625,32.41444444444444,21.75375,19.87,21.75375,19.87,31.041428571428572,40.583333333333336
7,40.7475,37.839999999999996,32.83,37.795,42.236,24.94333333333333,28.194285714285716,41.192,31.7575,37.02333333333333,30.266666666666666,21.72,28.89875,34.7375,30.4025,33.69111111111111,36.60125,41.32888888888889,36.60125,41.32888888888889,28.59857142857143,28.053333333333335
8,10.75875,10.75875,32.02333333333333,40.33,33.444,12.72095238095238,11.711428571428572,44.128,7.04625,6.918888888888889,19.44,4.662857142857144,4.8175,1.2,4.32125,4.496666666666667,3.7724999999999995,4.0088888888888885,3.7724999999999995,4.0088888888888885,7.622857142857143,6.051666666666667
9,32.77625,29.02625,54.11666666666667,59.2775,49.864,30.39095238095238,30.72142857142857,50.098,30.87375,28.8,32.80888888888889,24.442857142857143,22.91375,34.05,25.583750000000002,24.09777777777778,24.35,23.00111111111111,24.35,23.00111111111111,31.085714285714285,30.11
10,23.29375,23.29375,31.665,42.6175,46.094,22.37952380952381,28.65714285714286,30.684,24.63375,31.89666666666667,26.106666666666666,20.021428571428572,28.76875,30.28,28.6525,32.135555555555555,21.4275,29.046666666666667,21.4275,29.046666666666667,27.922857142857143,28.89
