id,permutation,test_sum,reference_sum,alignment_index,n_permutations
1,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",230.21,250.21,0.920067143599377,4
2,"Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",821.9,856.79,0.959278236207239,4
3,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1500,2098.1,0.714932558028693,4
4,"Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",826.69,909.81,0.90864026554995,4
5,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",172.95,179.19,0.965176628160054,4
6,"Digital Forensics, Cyber Security Management, Security Testing, Identity & Access Management",464.28,508.78,0.912535870120681,4
7,"Cyber Threat Intelligence, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",709.24,815.92,0.869251887439945,4
8,"Digital Forensics, Cyber Security Management, Network Monitoring & Intrusion Detection, Data Protection & Privacy",457.27,507.27,0.901433161827035,4
9,"Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",605.31,621.54,0.973887440872671,4
10,"Cyber Security Management, Incident response (Industrial Control Systems), Cryptography & Communications Security (Cryptographer), Secure Operations",707.54,730.46,0.968622511841853,4
11,"Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",1020.31,1233.34,0.827273906627532,4
12,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer)",304.77,315.79,0.965103391494348,4
13,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management",1132.03,1400.32,0.808408078153565,4
14,"Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection, Secure System Architecture & Design (Industrial Control Systems)",948.71,1003.58,0.945325733872736,4
15,"Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Identity & Access Management",780.72,836.63,0.933172370103869,4
16,"Digital Forensics, Cyber Threat Intelligence, Network Monitoring & Intrusion Detection, Secure System Architecture & Design",332.41,337.25,0.985648628613788,4
17,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",11.8,11.8,1,4
18,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Network Monitoring & Intrusion Detection",466.19,472.45,0.986749920626521,4
19,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",96.3,96.3,1,4
20,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Vulnerability Management",195.8,235.8,0.830364715860899,4
21,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design",889.73,936.89,0.949663247553074,4
22,"Digital Forensics (Industrial Control Systems), Cyber Security Management, Security Testing, Identity & Access Management",704.91,733.67,0.960799814630556,4
23,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Secure Operations",121.67,121.67,1,4
24,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations",807.41,846.37,0.953968122688659,4
25,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",0,0,NA,4
26,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Vulnerability Management",576.59,606.59,0.950543200514351,4
27,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations (Industrial control systems)",760.21,814.76,0.933047768668074,4
28,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1406.13,1777.99,0.790853716837552,4
29,"Digital Forensics (Industrial Control Systems), Cyber Security Management, Security Testing, Identity & Access Management",1159.59,1296.13,0.894655628679222,4
30,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",351.19,351.19,1,4
31,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",0,0,NA,4
32,"Digital Forensics, Cyber Security Management, Vulnerability Management, Data Protection & Privacy",654.98,765.32,0.855825014373073,4
33,"Cyber Threat Intelligence, Cyber Security Management, Security Testing, Secure Operations",842.69,950.67,0.886416948047167,4
34,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Data Protection & Privacy",564.6,574.6,0.98259658893143,4
35,"Digital Forensics, Cyber Security Management, Network Monitoring & Intrusion Detection, Secure Operations",650,719.94,0.902853015529072,4
36,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",389.19,409.19,0.951122950218725,4
37,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Secure Operations",292.45,292.45,1,4
38,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Secure Operations",156.66,156.66,1,4
39,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",669.46,722.2,0.926973137635004,4
40,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",269.43,278.06,0.968963533050421,4
41,"Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1166.96,1321.54,0.883030403922696,4
42,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",108.31,108.31,1,4
43,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",1452.15,1828.53,0.794162523994684,4
44,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",0,0,NA,4
45,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",862.05,879.81,0.979813823439152,4
