id,permutation,test_sum,reference_sum,alignment_index,n_permutations
46,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",756.56,871.25,0.868361549497848,4
47,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Network Monitoring & Intrusion Detection",269.37,279.37,0.96420517593156,4
48,"Digital Forensics, Cyber Security Management, Security Testing, Data Protection & Privacy",516.77,551.97,0.936228418211135,4
49,"Digital Forensics, Cyber Security Management, Secure Operations, Secure System Architecture & Design",304.21,308.95,0.984657711603819,4
50,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design",723.1,804.87,0.898405953756507,4
51,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection",696.04,713.05,0.976144730383564,4
52,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure System Architecture & Design (Industrial Control Systems)",976.8,1025.54,0.952473818671139,4
53,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management",0,0,NA,4
54,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer)",474.37,475.87,0.996847878622313,4
55,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Secure Operations",97.98,97.98,1,4
56,"Digital Forensics, Cyber Security Management, Secure System Architecture & Design (Industrial Control Systems), Data Protection & Privacy",240.16,279.3,0.859863945578231,4
57,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer)",317.53,385.88,0.822872395563388,4
58,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",918.84,943.06,0.974317646809323,4
59,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Secure System Architecture & Design",407.28,413.3,0.985434309218485,4
60,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations",665.99,693.7,0.960054778722791,4
61,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",812.48,927.98,0.875536110692041,4
62,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1119.82,1333.6,0.839697060587882,4
63,"Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",281.35,281.35,1,4
64,"Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design",980.14,1034.57,0.947388770213712,4
65,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management",954.49,1027.88,0.928600614857765,4
