"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"1","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Cyber Security Audit & Assurance",30,100,0.3,3
"2","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management",0,0,NA,3
"3","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,3
"4","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Cyber Security Management",90,250.21,0.359697853802806,3
"5","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Cyber Threat Intelligence",210,250.21,0.839294992206546,3
"6","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Data Protection & Privacy",0,0,NA,3
"7","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Digital Forensics",110.21,150.21,0.73370614473071,3
"8","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"9","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Identity & Access Management",30,100,0.3,3
"10","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Incident response",150,250.21,0.599496423004676,3
"11","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"12","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",90,200,0.45,3
"13","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure Operations",60,150.21,0.399440782903934,3
"14","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,3
"15","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",0,0,NA,3
"16","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,3
"17","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure System Development",0,0,NA,3
"18","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",0,0,NA,3
"19","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Security Testing",120,200,0.6,3
"20","1","Cryptography & Communications Security (Cryptographer), Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",120,200,0.6,3
"21","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",30,100,0.3,3
"22","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",30,100,0.3,3
"23","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Cyber Security Management",90,250.21,0.359697853802806,3
"24","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Cyber Threat Intelligence",210,250.21,0.839294992206546,3
"25","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Data Protection & Privacy",30,100,0.3,3
"26","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Digital Forensics",110.21,150.21,0.73370614473071,3
"27","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"28","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Identity & Access Management",30,100,0.3,3
"29","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Incident response",150,250.21,0.599496423004676,3
"30","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"31","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",90,200,0.45,3
"32","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure Operations",60,150.21,0.399440782903934,3
"33","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,3
"34","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure System Architecture & Design",30,100,0.3,3
"35","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure System Architecture & Design (Industrial Control Systems)",30,100,0.3,3
"36","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure System Development",30,100,0.3,3
"37","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Secure System Development (Industrial Control Systems)",30,100,0.3,3
"38","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Security Testing",120,200,0.6,3
"39","1","Cryptography & Communications Security (Cryptographer), Cyber Security Audit & Assurance, Vulnerability Management",120,200,0.6,3
"40","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,3
"41","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Cyber Security Management",90,250.21,0.359697853802806,3
"42","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Cyber Threat Intelligence",210,250.21,0.839294992206546,3
"43","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Data Protection & Privacy",0,0,NA,3
"44","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Digital Forensics",110.21,150.21,0.73370614473071,3
"45","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"46","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Identity & Access Management",30,100,0.3,3
"47","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Incident response",150,250.21,0.599496423004676,3
"48","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"49","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Network Monitoring & Intrusion Detection",90,200,0.45,3
"50","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure Operations",60,150.21,0.399440782903934,3
"51","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,3
"52","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure System Architecture & Design",0,0,NA,3
"53","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,3
"54","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure System Development",0,0,NA,3
"55","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Secure System Development (Industrial Control Systems)",0,0,NA,3
"56","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Security Testing",120,200,0.6,3
"57","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management, Vulnerability Management",120,200,0.6,3
"58","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Security Management",90,250.21,0.359697853802806,3
"59","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Cyber Threat Intelligence",210,250.21,0.839294992206546,3
"60","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Data Protection & Privacy",0,0,NA,3
"61","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics",110.21,150.21,0.73370614473071,3
"62","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"63","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Identity & Access Management",30,100,0.3,3
"64","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response",150,250.21,0.599496423004676,3
"65","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"66","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Network Monitoring & Intrusion Detection",90,200,0.45,3
"67","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations",60,150.21,0.399440782903934,3
"68","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,3
"69","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design",0,0,NA,3
"70","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,3
"71","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development",0,0,NA,3
"72","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Secure System Development (Industrial Control Systems)",0,0,NA,3
"73","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Security Testing",120,200,0.6,3
"74","1","Cryptography & Communications Security (Cryptographer), Cyber Security Governance & Risk Management (Industrial Control Systems), Vulnerability Management",120,200,0.6,3
"75","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Cyber Threat Intelligence",210,250.21,0.839294992206546,3
"76","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Data Protection & Privacy",90,250.21,0.359697853802806,3
"77","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Digital Forensics",110.21,250.21,0.440470005195636,3
"78","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Digital Forensics (Industrial Control Systems)",110.21,250.21,0.440470005195636,3
"79","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Identity & Access Management",90,250.21,0.359697853802806,3
"80","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Incident response",150,250.21,0.599496423004676,3
"81","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"82","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Network Monitoring & Intrusion Detection",90,250.21,0.359697853802806,3
"83","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure Operations",90,250.21,0.359697853802806,3
"84","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure Operations (Industrial control systems)",90,250.21,0.359697853802806,3
"85","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure System Architecture & Design",90,250.21,0.359697853802806,3
"86","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure System Architecture & Design (Industrial Control Systems)",90,250.21,0.359697853802806,3
"87","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure System Development",90,250.21,0.359697853802806,3
"88","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Secure System Development (Industrial Control Systems)",90,250.21,0.359697853802806,3
"89","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Security Testing",120,250.21,0.479597138403741,3
"90","1","Cryptography & Communications Security (Cryptographer), Cyber Security Management, Vulnerability Management",120,250.21,0.479597138403741,3
"91","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Data Protection & Privacy",210,250.21,0.839294992206546,3
"92","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Digital Forensics",210,250.21,0.839294992206546,3
"93","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Digital Forensics (Industrial Control Systems)",210,250.21,0.839294992206546,3
"94","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Identity & Access Management",210,250.21,0.839294992206546,3
"95","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Incident response",210,250.21,0.839294992206546,3
"96","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Incident response (Industrial Control Systems)",210,250.21,0.839294992206546,3
"97","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Network Monitoring & Intrusion Detection",210,250.21,0.839294992206546,3
"98","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure Operations",210,250.21,0.839294992206546,3
"99","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure Operations (Industrial control systems)",210,250.21,0.839294992206546,3
"100","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure System Architecture & Design",210,250.21,0.839294992206546,3
"101","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure System Architecture & Design (Industrial Control Systems)",210,250.21,0.839294992206546,3
"102","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure System Development",210,250.21,0.839294992206546,3
"103","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Secure System Development (Industrial Control Systems)",210,250.21,0.839294992206546,3
"104","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Security Testing",210,250.21,0.839294992206546,3
"105","1","Cryptography & Communications Security (Cryptographer), Cyber Threat Intelligence, Vulnerability Management",210,250.21,0.839294992206546,3
"106","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Digital Forensics",110.21,150.21,0.73370614473071,3
"107","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"108","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Identity & Access Management",30,100,0.3,3
"109","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Incident response",150,250.21,0.599496423004676,3
"110","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"111","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Network Monitoring & Intrusion Detection",90,200,0.45,3
"112","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure Operations",60,150.21,0.399440782903934,3
"113","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,3
"114","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure System Architecture & Design",0,0,NA,3
"115","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,3
"116","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure System Development",0,0,NA,3
"117","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Secure System Development (Industrial Control Systems)",0,0,NA,3
"118","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Security Testing",120,200,0.6,3
"119","1","Cryptography & Communications Security (Cryptographer), Data Protection & Privacy, Vulnerability Management",120,200,0.6,3
"120","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"121","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Identity & Access Management",110.21,150.21,0.73370614473071,3
"122","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Incident response",150,250.21,0.599496423004676,3
"123","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"124","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Network Monitoring & Intrusion Detection",110.21,200,0.55105,3
"125","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure Operations",110.21,150.21,0.73370614473071,3
"126","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure Operations (Industrial control systems)",110.21,150.21,0.73370614473071,3
"127","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure System Architecture & Design",110.21,150.21,0.73370614473071,3
"128","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure System Architecture & Design (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"129","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure System Development",110.21,150.21,0.73370614473071,3
"130","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Secure System Development (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"131","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Security Testing",120,200,0.6,3
"132","1","Cryptography & Communications Security (Cryptographer), Digital Forensics, Vulnerability Management",120,200,0.6,3
"133","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Identity & Access Management",110.21,150.21,0.73370614473071,3
"134","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Incident response",150,250.21,0.599496423004676,3
"135","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,3
"136","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Network Monitoring & Intrusion Detection",110.21,200,0.55105,3
"137","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Secure Operations",110.21,150.21,0.73370614473071,3
"138","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Secure Operations (Industrial control systems)",110.21,150.21,0.73370614473071,3
"139","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Secure System Architecture & Design",110.21,150.21,0.73370614473071,3
"140","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Secure System Architecture & Design (Industrial Control Systems)",110.21,150.21,0.73370614473071,3
"141","1","Cryptography & Communications Security (Cryptographer), Digital Forensics (Industrial Control Systems), Secure System Development",110.21,150.21,0.73370614473071,3
