scenario_id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
1,0,0,0.08333333333333333,0,0,0.10344827586206896,0.5,0,0.2296041666666667,0.19335087719298247,0.058823529411764705,0.45454545454545453,0.35714285714285715,0.3333333333333333,0.14285714285714285,0.125,0,0,0,0,0.23529411764705882,0.3076923076923077
2,0.5896666666666667,0.6317857142857144,0.9295833333333334,1,1,0.7359310344827587,0.48919047619047623,0.7528787878787878,0.5775000000000001,0.6442105263157896,0.45988235294117646,0.5316969696969697,0.6320476190476191,0.5242962962962963,0.6015238095238096,0.6513333333333333,0.4454814814814815,0.5246984126984127,0.4454814814814815,0.5246984126984127,0.44121568627450974,0.4657179487179487
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,0.5307555555555555,0.5686666666666667,0.7169444444444445,0.8193749999999999,0.8554999999999999,0.6933678160919541,0.7131666666666667,0.5717575757575758,0.7269791666666666,0.7700877192982456,0.4904313725490196,0.8383030303030302,0.8729523809523809,0.6281111111111111,0.7756666666666666,0.8037083333333332,0.4376666666666666,0.5179999999999999,0.4376666666666666,0.5179999999999999,0.3812549019607843,0.5734102564102563
5,0.06666666666666667,0.07142857142857142,0.48041666666666666,0.625,0.5,0.19879310344827586,0.21428571428571427,0.43318181818181817,0.1728125,0.1455263157894737,0.17647058823529413,0,0,0,0,0,0,0,0,0,0.11764705882352941,0.07692307692307693
6,0.3202,0.3430714285714286,0.25,0.375,0.3,0.3025057471264368,0.14285714285714285,0.36363636363636365,0.25,0.21052631578947367,0.6129411764705883,0.09090909090909091,0.07142857142857142,0.22559259259259257,0.47480952380952385,0.4154583333333334,0.43324074074074076,0.3713492063492064,0.43324074074074076,0.3713492063492064,0.3562352941176471,0.46153846153846156
7,0.7579999999999999,0.7407142857142857,0.13441666666666668,0.06120833333333333,0.24896666666666667,0.3962298850574713,0.36442857142857144,0.2283939393939394,0.34252083333333333,0.3957719298245614,0.4874117647058823,0.5141212121212121,0.5496190476190477,0.5958518518518519,0.6547857142857143,0.6979375,0.5650925925925926,0.5814761904761905,0.5650925925925926,0.5814761904761905,0.3342745098039216,0.4265897435897436
8,0.24428888888888892,0.26173809523809527,0.8299444444444444,0.8982083333333333,0.7185666666666667,0.4697816091954023,0.43826190476190474,0.8168787878787879,0.44029166666666664,0.37077192982456136,0.3943529411764706,0.37596969696969695,0.2954047619047619,0.41714814814814816,0.33959523809523806,0.29714583333333333,0.1287037037037037,0.11031746031746031,0.1287037037037037,0.11031746031746031,0.30807843137254903,0.41635897435897434
9,0.44142222222222227,0.472952380952381,0.9047499999999999,0.9437083333333334,0.7737,0.6156896551724138,0.5858571428571429,0.811878787878788,0.47458333333333336,0.4095087719298246,0.5906274509803923,0.582939393939394,0.47140476190476194,0.542962962962963,0.45192857142857146,0.4071458333333334,0.18637037037037038,0.1686666666666667,0.18637037037037038,0.1686666666666667,0.3357058823529412,0.5383846153846154
10,0.5301333333333333,0.5680000000000001,0.6728333333333333,0.747875,0.7982999999999999,0.6237126436781609,0.566595238095238,0.6124545454545455,0.5254791666666666,0.6004035087719298,0.48488235294117643,0.5505151515151515,0.6468333333333334,0.603925925925926,0.5686428571428572,0.6225625000000001,0.3309259259259259,0.4265079365079365,0.3309259259259259,0.4265079365079365,0.45405882352941174,0.5318461538461539
11,0.8697777777777778,0.8604761904761904,0.5824444444444444,0.7120833333333333,0.7696666666666666,0.6971954022988505,0.6983095238095238,0.5369999999999999,0.752625,0.7916842105263158,0.6952156862745097,0.6109696969696969,0.6943333333333334,0.8085555555555556,0.879547619047619,0.8946041666666666,0.5583333333333333,0.6214285714285714,0.5583333333333333,0.6214285714285714,0.6062941176470589,0.6002307692307692
12,0.2919333333333333,0.3127857142857143,0.4561388888888888,0.615625,0.49433333333333335,0.34801149425287353,0.2944047619047619,0.4304242424242424,0.21654166666666666,0.1833157894736842,0.3018235294117647,0.2355757575757576,0.1864047619047619,0.20322222222222225,0.22635714285714284,0.19920833333333332,0.12211111111111113,0.10553968253968256,0.12211111111111113,0.10553968253968256,0.17994117647058824,0.2253589743589744
13,0.7813555555555556,0.8371666666666667,0.8778888888888888,0.8168333333333333,0.6615,0.8313218390804595,1,0.9576969696969696,0.89475,0.757701754385965,0.8605294117647059,0.9205757575757576,0.7290476190476192,1,1,0.8800208333333334,0.5625185185185186,0.4859841269841271,0.5625185185185186,0.4859841269841271,0.8179215686274509,1
