id,cryptography_communications_security_cryptographer,cryptography_communications_security_secure_communications_operator,cyber_security_audit_assurance,cyber_security_governance_risk_management,cyber_security_governance_risk_management_industrial_control_systems,cyber_security_management,cyber_threat_intelligence,data_protection_privacy,digital_forensics,digital_forensics_industrial_control_systems,identity_access_management,incident_response,incident_response_industrial_control_systems,network_monitoring_intrusion_detection,secure_operations,secure_operations_industrial_control_systems,secure_system_architecture_design,secure_system_architecture_design_industrial_control_systems,secure_system_development,secure_system_development_industrial_control_systems,security_testing,vulnerability_management
1,Inf,Inf,12,Inf,Inf,9.666666666666666,2,Inf,4.355321658651665,5.171944469648852,17,2.2,2.8,3,7,8,Inf,Inf,Inf,Inf,4.25,3.25
2,1.6958733747880157,1.5828151498021479,1.0757507844016134,1,1,1.3588229781651204,2.0441935169862746,1.3282350573556048,1.7316017316017314,1.5522875816993462,2.174469173701714,1.8807705459933888,1.5821592706999168,1.907318451539983,1.6624445851804939,1.5353121801432958,2.2447622214832057,1.9058567279767666,2.2447622214832057,1.9058567279767666,2.2664652030930585,2.147222375158289
3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
4,1.8841065148216378,1.7584994138335286,1.3948082138705926,1.2204424103737606,1.168907071887785,1.4422359630654973,1.4021967749474176,1.7489930040279837,1.3755552371399915,1.2985533659870145,2.0390212697905006,1.192886061307114,1.1455378572987127,1.5920750044224308,1.289213579716373,1.2442324640987092,2.284843869002285,1.9305019305019306,2.284843869002285,1.9305019305019306,2.6229170952478915,1.743952063676609
5,15,14,2.0815264527320037,1.6,2,5.030355594102342,4.666666666666667,2.3084994753410286,5.786618444846293,6.871609403254973,5.666666666666667,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,8.5,13
6,3.123048094940662,2.9148448886112845,4,2.6666666666666665,3.3333333333333335,3.305722319325177,7,2.75,4,4.75,1.6314779270633397,11,14,4.432769660154326,2.1061077123658607,2.406980242703841,2.3081855097243,2.6928830946783497,2.3081855097243,2.6928830946783497,2.807133421400264,2.1666666666666665
7,1.3192612137203168,1.3500482160077147,7.439553626782392,16.33764465622873,4.016601954746284,2.5237874216755625,2.7440219521756175,4.378399893856972,2.919530442187215,2.5267077441375947,2.0516533912623705,1.945066603795827,1.8194420377750822,1.678269517652909,1.5272171921021054,1.432793050953703,1.7696214976241194,1.7197608713455081,1.7696214976241194,1.7197608713455081,2.9915532613796336,2.3441726272765524
8,4.093514054398253,3.8206131174383695,1.2048999263672269,1.113327457438419,1.391659321798024,2.1286486750997042,2.2817406421470094,1.2241718292094819,2.271221728021198,2.697075802025173,2.535799522673031,2.659788828886919,3.3851857822197147,2.397229867708426,2.9446820444506767,3.3653509079436303,7.76978417266187,9.06474820143885,7.76978417266187,9.06474820143885,3.245926680244399,2.4017736174405715
9,2.265404752315747,2.1143777688280303,1.105277701022382,1.0596494326460328,1.2924906294429364,1.6241949033884067,1.706900755913192,1.2317109584950732,2.1071115013169446,2.441950132807814,1.693114667020782,1.7154441960804698,2.1213192585484113,1.8417462482946794,2.212739054844318,2.4561223967661054,5.365659777424483,5.928853754940711,5.365659777424483,5.928853754940711,2.9787979674084455,1.857408201171596
10,1.886317907444668,1.76056338028169,1.4862521674510776,1.3371218452281466,1.252661906551422,1.6033024344396734,1.7649283523133168,1.6327742318539409,1.9030250168497007,1.665546562253455,2.062355938371952,1.8164804315517145,1.545993300695697,1.655832209002821,1.758573043587489,1.6062644312819996,3.02182428651371,2.3446222553033125,3.02182428651371,2.3446222553033125,2.2023578183702552,1.8802429852473244
11,1.1497189575881452,1.162147205312673,1.7169019458222055,1.4043300175541253,1.29926375054136,1.4343181218675813,1.4320297316649049,1.8621973929236502,1.328682943032719,1.263129902938439,1.4384025270758125,1.6367423866679893,1.4402304368698993,1.2367733956300673,1.136948106439999,1.1178128129293683,1.791044776119403,1.6091954022988506,1.791044776119403,1.6091954022988506,1.6493645095566118,1.6660258874791747
12,3.425439598081754,3.197076958209637,2.192314718957433,1.6243654822335025,2.0229265003371544,2.8734683092776696,3.396684189243833,2.3232892143058295,4.618048874350587,5.455067470571347,3.3131943091015397,4.2449189606380235,5.364669817345765,4.920721705850191,4.417797412432945,5.019870320016733,8.189262966333029,9.475109038953224,8.189262966333029,9.475109038953224,5.557371690094802,4.437364887928092
13,1.2798270811410368,1.1945052757316343,1.1390963169219088,1.224239951030402,1.5117157974300832,1.2029035603180094,1,1.044171623845083,1.1176306230790722,1.3197804996642661,1.1620753298243216,1.086276704302314,1.3716525146962768,1,1,1.1363367344523092,1.7777192520410847,2.057680373648626,1.7777192520410847,2.057680373648626,1.222611113774752,1
14,1.7816842855446016,1.6629053331749615,1.1658408627222385,1.0224948875255624,1.0334849111202977,1.3125339448434012,1.1412113142950304,1.5590305664477726,1.445217234215518,1.4702468467074208,1.556586497375168,1.081683492854333,1.1645962732919253,1,1.2113171632105673,1.193169106863208,1.9145541570643503,1.8660584698320546,1.9145541570643503,1.8660584698320546,1.495776630689817,1.0372616292986516
15,2.962280297544599,2.764794944374959,1.8744142455482662,1.8758793184305143,1.7843335514185452,1.5532940546331016,1.238791882963662,2.0362828582006665,1.50018752344043,1.582673885880883,1.5921081384821902,1.3016211099278192,1.4299332697807434,1.534352446439734,1.482265749073584,1.4835878098534958,2.458120903131828,2.4242890676107285,2.458120903131828,2.4242890676107285,1.7619014717059354,1.311276982045592
16,4.448838358872961,4.1522491349480974,4.1962932742743915,4.301846208998028,5.377307761247535,3.5093380662337137,1.9065776930409915,12.795657231485071,3.6330608537693005,4.3142597638510445,9.14142319412081,1.469933184855234,1.8708240534521159,1.20789155818011,1.8908698001080497,2.1609940572663424,5.951068988318272,6.942913819704651,5.951068988318272,6.942913819704651,3.819366434509099,1.7109765727823112
17,38.13559322033898,35.59322033898305,30.508474576271183,20.338983050847457,25.423728813559322,73.72881355932203,35.59322033898305,27.966101694915253,40.67796610169491,48.305084745762706,43.220338983050844,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,43.220338983050844,Inf
18,4.434371304690579,4.138746551044541,1.5047021943573669,1.171531777799473,1.303780964797914,2.0890863248889424,1.9130910084722605,2.1025804396304553,2.2564874012786764,2.3953605648008067,2.774906142880461,1.7893937750786246,2.0032433463703136,2.36655272153563,3.150787696924231,3.02762709726252,5.877870904539022,5.379557680812911,5.877870904539022,5.379557680812911,2.7606365703150373,1.9611787186965703
19,12.520868113522539,11.686143572621036,20.03338898163606,13.355592654424042,16.69449081803005,13.193812556869883,8.755472170106316,18.363939899833056,6.127920337035619,7.276905400229797,14.190317195325543,11,14,Inf,8.755472170106316,10.006253908692933,30.05008347245409,35.05843071786311,30.05008347245409,35.05843071786311,28.380634390651085,Inf
20,15,14,2.572714928893018,2.829187787339385,3.536484734174231,4.819143632637235,8.411776487081914,4.674220963172805,6.0052545977730505,7.131239834855498,3.7555228276877757,4.128612535968973,5.25459777305142,5.407570598838373,7.660040124019697,8.754331570308226,11.928429423459244,13.916500994035784,11.928429423459244,13.916500994035784,7.2474065652977115,4.0966386554621845
21,1.8318746183594543,1.7097496438021573,1.072354115158917,1,1.2179773456213714,1.2340600575894694,1.3215859030837005,1.3319878910191725,1.6314877128581624,1.8967123652335949,1.4537369591243372,1.1466296038915913,1.428037128965353,1.2190166598943517,1.3915117781532649,1.557733497760758,1.8730489073881373,2.138420284443841,1.8730489073881373,2.138420284443841,1.5471423370950128,1.1818181818181819
22,2.243605723687491,2.0940320087749913,3.2467532467532467,4.195804195804196,2.5597269624573378,2.099471512343445,3.1741233373639663,3.3,2.174208452235358,1.8738288569643973,2.209896871479331,2.287853577371048,1.8448563647544582,1.7743313399487413,2.076945900504401,1.8305239874914192,1.605613701236917,1.5009291466145707,1.605613701236917,1.5009291466145707,1.4403117851393712,1.9976438047431235
23,9.247842170160295,8.631319358816276,7.905138339920949,5.832320777642771,6.87757909215956,7.6719576719576725,9.316770186335404,4.1405269761606025,23.645320197044335,25.032938076416336,5.845942228335626,17.31374606505771,19.507663725034835,28.54122621564482,7.023411371237458,7.708366789786414,26.239067055393587,27.331887201735363,26.239067055393587,27.331887201735363,29.276693455797936,9.270263845971
24,2.8303666897289137,2.6416755770803193,1.1341440362926094,1.0919514081623367,1.2730744748567793,1.5223097112860893,1,1.3550135501355014,1.3261866607725037,1.5087347803070408,2.2485781050218243,1,1.2143641936043486,1.0744985673352436,1.3764624913971095,1.495373687653821,4.909090909090909,5.005561735261401,4.909090909090909,5.005561735261401,1.8112725077245446,1.2768883213829683
25,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
26,8.595988538681949,8.022922636103152,1.3850948405217192,1.2005402431093992,1.500675303886749,2.051693236487124,1.0852152343548138,2.30479117195139,1.817906377821542,2.1587638236630813,2.2584359224160835,1.2222222222222223,1.5555555555555556,1.5,2.0756115641215716,2.3721275018532246,5.323343848580442,6.210567823343848,5.323343848580442,6.210567823343848,1.9913318495958767,1.3117621337997376
