id,Specialism,max_threshold_value,alignment_sum,alignment_index,alignment_mean,max,min
53,Secure System Architecture & Design (Industrial Control Systems),630,0,0,0,0,0
53,Secure System Development,540,0,0,0,0,0
53,Secure System Development (Industrial Control Systems),630,0,0,0,0,0
53,Security Testing,510,0,0,0,0,0
53,Vulnerability Management,390,0,0,0,0,0
54,Cryptography & Communications Security (Cryptographer),450,258.37,0.5741555555555555,32.29625,91.5,0
54,Cryptography & Communications Security (Secure Communications Operator),420,258.37,0.6151666666666666,32.29625,91.5,0
54,Cyber Security Audit & Assurance,360,218.81,0.6078055555555556,36.468333333333334,89.3,0
54,Cyber Security Governance & Risk Management,240,129.51,0.5396249999999999,32.3775,89.3,0
54,Cyber Security Governance & Risk Management (Industrial Control Systems),300,129.51,0.4317,25.901999999999997,89.3,0
54,Cyber Security Management,870,362.89,0.4171149425287356,17.280476190476186,91.5,0
54,Cyber Threat Intelligence,420,217.12,0.5169523809523809,31.017142857142858,91.5,0
54,Data Protection & Privacy,330,205.76999999999998,0.6235454545454545,41.153999999999996,89.3,0
54,Digital Forensics,480,239.3,0.4985416666666667,29.9125,91.5,0
54,Digital Forensics (Industrial Control Systems),570,239.3,0.41982456140350877,26.58888888888889,91.5,0
54,Identity & Access Management,510,176.46999999999997,0.3460196078431372,19.607777777777777,89.3,0
54,Incident response,330,127.12,0.38521212121212123,18.16,91.5,0
54,Incident response (Industrial Control Systems),420,127.12,0.3026666666666667,15.89,91.5,0
54,Network Monitoring & Intrusion Detection,270,187.12,0.693037037037037,46.78,91.5,0
54,Secure Operations,420,214.01,0.509547619047619,26.75125,91.5,0
54,Secure Operations (Industrial control systems),480,214.01,0.44585416666666666,23.77888888888889,91.5,0
54,Secure System Architecture & Design,540,90,0.16666666666666666,11.25,91.5,0
54,Secure System Architecture & Design (Industrial Control Systems),630,90,0.14285714285714285,10,91.5,0
54,Secure System Development,540,90,0.16666666666666666,11.25,91.5,0
54,Secure System Development (Industrial Control Systems),630,90,0.14285714285714285,10,91.5,0
54,Security Testing,510,160.97,0.31562745098039213,22.995714285714286,91.5,0
54,Vulnerability Management,390,187.12,0.4797948717948718,31.186666666666667,91.5,0
55,Cryptography & Communications Security (Cryptographer),450,30,0.06666666666666667,3.75,74.86,0
55,Cryptography & Communications Security (Secure Communications Operator),420,30,0.07142857142857142,3.75,74.86,0
55,Cyber Security Audit & Assurance,360,16.47,0.04575,2.745,16.47,0
55,Cyber Security Governance & Risk Management,240,16.47,0.06862499999999999,4.1175,16.47,0
55,Cyber Security Governance & Risk Management (Industrial Control Systems),300,16.47,0.0549,3.2939999999999996,16.47,0
55,Cyber Security Management,870,53.12,0.061057471264367814,2.52952380952381,74.86,0
55,Cyber Threat Intelligence,420,16.47,0.03921428571428571,2.3528571428571423,16.47,0
55,Data Protection & Privacy,330,76.47,0.23172727272727273,15.294,74.86,0
55,Digital Forensics,480,0,0,0,0,0
55,Digital Forensics (Industrial Control Systems),570,0,0,0,0,0
55,Identity & Access Management,510,91.33,0.17907843137254903,10.147777777777778,74.86,0
55,Incident response,330,0,0,0,0,0
55,Incident response (Industrial Control Systems),420,0,0,0,0,0
55,Network Monitoring & Intrusion Detection,270,0,0,0,0,0
55,Secure Operations,420,74.86,0.17823809523809522,9.3575,74.86,0
55,Secure Operations (Industrial control systems),480,74.86,0.15595833333333334,8.317777777777778,74.86,0
55,Secure System Architecture & Design,540,6.65,0.012314814814814815,0.83125,6.65,0
55,Secure System Architecture & Design (Industrial Control Systems),630,6.65,0.010555555555555556,0.7388888888888889,6.65,0
55,Secure System Development,540,6.65,0.012314814814814815,0.83125,6.65,0
55,Secure System Development (Industrial Control Systems),630,6.65,0.010555555555555556,0.7388888888888889,6.65,0
55,Security Testing,510,6.65,0.013039215686274511,0.9500000000000001,6.65,0
55,Vulnerability Management,390,16.47,0.042230769230769225,2.745,16.47,0
56,Cryptography & Communications Security (Cryptographer),450,75.27000000000001,0.1672666666666667,9.40875,68.59,0
56,Cryptography & Communications Security (Secure Communications Operator),420,75.27000000000001,0.17921428571428574,9.40875,68.59,0
56,Cyber Security Audit & Assurance,360,72.25,0.20069444444444445,12.041666666666668,68.59,0
56,Cyber Security Governance & Risk Management,240,42.25,0.17604166666666668,10.5625,42.25,0
56,Cyber Security Governance & Risk Management (Industrial Control Systems),300,96.3,0.321,19.259999999999998,54.05,0
56,Cyber Security Management,870,192.25,0.22097701149425286,9.154761904761905,69.14,0
56,Cyber Threat Intelligence,420,30,0.07142857142857142,4.2857142857142865,42.25,0
56,Data Protection & Privacy,330,110.84,0.3358787878787879,22.168,68.59,0
56,Digital Forensics,480,0,0,0,0,0
56,Digital Forensics (Industrial Control Systems),570,54.05,0.09482456140350877,6.005555555555556,54.05,0
56,Identity & Access Management,510,147.52,0.28925490196078435,16.39111111111111,68.59,0
56,Incident response,330,0,0,0,0,0
56,Incident response (Industrial Control Systems),420,54.05,0.1286904761904762,6.756249999999999,54.05,0
56,Network Monitoring & Intrusion Detection,270,0,0,0,0,0
56,Secure Operations,420,0,0,0,0,0
56,Secure Operations (Industrial control systems),480,54.05,0.11260416666666666,6.005555555555556,54.05,0
56,Secure System Architecture & Design,540,45.27,0.08383333333333334,5.65875,45.27,0
56,Secure System Architecture & Design (Industrial Control Systems),630,99.32,0.15765079365079365,11.035555555555556,54.05,0
56,Secure System Development,540,45.27,0.08383333333333334,5.65875,45.27,0
56,Secure System Development (Industrial Control Systems),630,99.32,0.15765079365079365,11.035555555555556,54.05,0
56,Security Testing,510,0,0,0,0,0
56,Vulnerability Management,390,30,0.07692307692307693,5,42.25,0
