"","scenario_id","permutation","threshold_sum","values_sum","alignment_index","n_permutations"
"162",1,"Digital Forensics (Industrial Control Systems), Secure System Development",1110,110.21,0.0992882882882883,2
"163",1,"Digital Forensics (Industrial Control Systems), Secure System Development (Industrial Control Systems)",1200,110.21,0.0918416666666667,2
"164",1,"Digital Forensics (Industrial Control Systems), Security Testing",1080,230.21,0.213157407407407,2
"165",1,"Digital Forensics (Industrial Control Systems), Vulnerability Management",960,230.21,0.239802083333333,2
"166",1,"Identity & Access Management, Incident response",840,180,0.214285714285714,2
"167",1,"Identity & Access Management, Incident response (Industrial Control Systems)",930,180,0.193548387096774,2
"168",1,"Identity & Access Management, Network Monitoring & Intrusion Detection",780,120,0.153846153846154,2
"169",1,"Identity & Access Management, Secure Operations",930,90,0.0967741935483871,2
"170",1,"Identity & Access Management, Secure Operations (Industrial control systems)",990,90,0.0909090909090909,2
"171",1,"Identity & Access Management, Secure System Architecture & Design",1050,30,0.0285714285714286,2
"172",1,"Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",1140,30,0.0263157894736842,2
"173",1,"Identity & Access Management, Secure System Development",1050,30,0.0285714285714286,2
"174",1,"Identity & Access Management, Secure System Development (Industrial Control Systems)",1140,30,0.0263157894736842,2
"175",1,"Identity & Access Management, Security Testing",1020,150,0.147058823529412,2
"176",1,"Identity & Access Management, Vulnerability Management",900,150,0.166666666666667,2
"177",1,"Incident response, Incident response (Industrial Control Systems)",750,300,0.4,2
"178",1,"Incident response, Network Monitoring & Intrusion Detection",600,240,0.4,2
"179",1,"Incident response, Secure Operations",750,210,0.28,2
"180",1,"Incident response, Secure Operations (Industrial control systems)",810,210,0.259259259259259,2
"181",1,"Incident response, Secure System Architecture & Design",870,150,0.172413793103448,2
"182",1,"Incident response, Secure System Architecture & Design (Industrial Control Systems)",960,150,0.15625,2
"183",1,"Incident response, Secure System Development",870,150,0.172413793103448,2
"184",1,"Incident response, Secure System Development (Industrial Control Systems)",960,150,0.15625,2
"185",1,"Incident response, Security Testing",840,270,0.321428571428571,2
