id,permutation,test_sum,reference_sum,alignment_index,n_permutations
34,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Data Protection & Privacy",564.6,574.6,0.98259658893143,5
35,"Digital Forensics, Cyber Security Management, Network Monitoring & Intrusion Detection, Secure Operations, Data Protection & Privacy",650.12,719.94,0.903019696085785,5
36,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",389.19,409.19,0.951122950218725,5
37,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",292.45,292.45,1,5
38,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",156.66,156.66,1,5
39,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",669.46,722.2,0.926973137635004,5
40,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",269.43,278.06,0.968963533050421,5
41,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1180.35,1321.54,0.893162522511615,5
42,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",108.31,108.31,1,5
43,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1512.15,1828.53,0.82697576741973,5
44,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",0,0,NA,5
45,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",862.05,879.81,0.979813823439152,5
46,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",785.42,871.25,0.901486370157819,5
47,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection",269.37,279.37,0.96420517593156,5
48,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Security Testing, Data Protection & Privacy",516.77,551.97,0.936228418211135,5
49,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Secure Operations, Secure System Architecture & Design",304.21,308.95,0.984657711603819,5
50,"Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection, Identity & Access Management, Secure System Architecture & Design",744.07,804.87,0.924459850659113,5
51,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection",696.04,713.05,0.976144730383564,5
52,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",996.46,1025.54,0.971644206954385,5
53,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",0,0,NA,5
54,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer)",474.37,475.87,0.996847878622313,5
55,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",97.98,97.98,1,5
56,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",240.16,279.3,0.859863945578231,5
57,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer)",317.53,385.88,0.822872395563388,5
58,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",918.84,943.06,0.974317646809323,5
59,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",407.28,413.3,0.985434309218485,5
60,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",665.99,693.7,0.960054778722791,5
61,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",854.48,927.98,0.920795706804026,5
62,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",1177.47,1333.6,0.882925914817036,5
63,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",281.35,281.35,1,5
64,"Cyber Threat Intelligence, Cyber Security Management, Security Testing, Cryptography & Communications Security (Cryptographer), Identity & Access Management",1024.83,1034.57,0.990585460626154,5
65,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management",974.23,1027.88,0.947805191267463,5
