id,permutation,test_sum,reference_sum,alignment_index,n_permutations
1,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",230.21,250.21,0.920067143599377,5
2,"Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",821.9,856.79,0.959278236207239,5
3,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",1590,2098.1,0.757828511510414,5
4,"Digital Forensics, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",847.27,909.81,0.931260373044921,5
5,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",172.95,179.19,0.965176628160054,5
6,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Security Testing, Identity & Access Management",464.28,508.78,0.912535870120681,5
7,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",743.08,815.92,0.910726541817825,5
8,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Network Monitoring & Intrusion Detection, Data Protection & Privacy",457.27,507.27,0.901433161827035,5
9,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Cryptography & Communications Security (Cryptographer), Data Protection & Privacy",605.31,621.54,0.973887440872671,5
10,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design (Industrial Control Systems)",714.99,730.46,0.978821564493607,5
11,"Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations",1077.96,1233.34,0.874016897205961,5
12,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer)",304.77,315.79,0.965103391494348,5
13,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management",1171.51,1400.32,0.836601633912249,5
14,"Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection, Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",982.3,1003.58,0.978795910639909,5
15,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",791.74,836.63,0.946344262099136,5
16,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Network Monitoring & Intrusion Detection, Secure System Architecture & Design",332.41,337.25,0.985648628613788,5
17,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",11.8,11.8,1,5
18,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection",466.19,472.45,0.986749920626521,5
19,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",96.3,96.3,1,5
20,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Vulnerability Management",195.8,235.8,0.830364715860899,5
21,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Secure Operations, Secure System Architecture & Design",895.12,936.89,0.955416324221627,5
22,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Security Management, Security Testing, Identity & Access Management",704.91,733.67,0.960799814630556,5
23,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Secure Operations",121.67,121.67,1,5
24,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection, Secure Operations",818.69,846.37,0.967295627207959,5
25,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",0,0,NA,5
26,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Vulnerability Management",576.59,606.59,0.950543200514351,5
27,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Network Monitoring & Intrusion Detection, Secure Operations (Industrial control systems)",774.92,814.76,0.95110216505474,5
28,"Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management, Secure System Architecture & Design (Industrial Control Systems)",1482.91,1777.99,0.834037311795904,5
29,"Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Cryptography & Communications Security (Cryptographer), Identity & Access Management",1224.87,1296.13,0.945020946972912,5
30,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",351.19,351.19,1,5
31,"Digital Forensics, Digital Forensics (Industrial Control Systems), Cyber Threat Intelligence, Cyber Security Management, Incident response",0,0,NA,5
32,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Vulnerability Management, Data Protection & Privacy",670.7,765.32,0.876365441906653,5
33,"Digital Forensics, Cyber Threat Intelligence, Cyber Security Management, Security Testing, Secure Operations",842.69,950.67,0.886416948047167,5
