"","id","permutation","test_max","reference_max","alignment_index","n_permutations"
"14355","63","Cryptography & Communications Security (Secure Communications Operator), Network Monitoring & Intrusion Detection",90,200,0.45,2
"14356","63","Cryptography & Communications Security (Secure Communications Operator), Secure Operations",60,150.21,0.399440782903934,2
"14357","63","Cryptography & Communications Security (Secure Communications Operator), Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14358","63","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design",0,0,NA,2
"14359","63","Cryptography & Communications Security (Secure Communications Operator), Secure System Architecture & Design (Industrial Control Systems)",0,0,NA,2
"14360","63","Cryptography & Communications Security (Secure Communications Operator), Secure System Development",0,0,NA,2
"14361","63","Cryptography & Communications Security (Secure Communications Operator), Secure System Development (Industrial Control Systems)",0,0,NA,2
"14362","63","Cryptography & Communications Security (Secure Communications Operator), Security Testing",120,200,0.6,2
"14363","63","Cryptography & Communications Security (Secure Communications Operator), Vulnerability Management",120,200,0.6,2
"14364","63","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management",30,100,0.3,2
"14365","63","Cyber Security Audit & Assurance, Cyber Security Governance & Risk Management (Industrial Control Systems)",30,100,0.3,2
"14366","63","Cyber Security Audit & Assurance, Cyber Security Management",90,250.21,0.359697853802806,2
"14367","63","Cyber Security Audit & Assurance, Cyber Threat Intelligence",210,250.21,0.839294992206546,2
"14368","63","Cyber Security Audit & Assurance, Data Protection & Privacy",30,100,0.3,2
"14369","63","Cyber Security Audit & Assurance, Digital Forensics",110.21,150.21,0.73370614473071,2
"14370","63","Cyber Security Audit & Assurance, Digital Forensics (Industrial Control Systems)",110.21,150.21,0.73370614473071,2
"14371","63","Cyber Security Audit & Assurance, Identity & Access Management",30,100,0.3,2
"14372","63","Cyber Security Audit & Assurance, Incident response",150,250.21,0.599496423004676,2
"14373","63","Cyber Security Audit & Assurance, Incident response (Industrial Control Systems)",150,250.21,0.599496423004676,2
"14374","63","Cyber Security Audit & Assurance, Network Monitoring & Intrusion Detection",90,200,0.45,2
"14375","63","Cyber Security Audit & Assurance, Secure Operations",60,150.21,0.399440782903934,2
"14376","63","Cyber Security Audit & Assurance, Secure Operations (Industrial control systems)",60,150.21,0.399440782903934,2
"14377","63","Cyber Security Audit & Assurance, Secure System Architecture & Design",30,100,0.3,2
"14378","63","Cyber Security Audit & Assurance, Secure System Architecture & Design (Industrial Control Systems)",30,100,0.3,2
"14379","63","Cyber Security Audit & Assurance, Secure System Development",30,100,0.3,2
"14380","63","Cyber Security Audit & Assurance, Secure System Development (Industrial Control Systems)",30,100,0.3,2
"14381","63","Cyber Security Audit & Assurance, Security Testing",120,200,0.6,2
"14382","63","Cyber Security Audit & Assurance, Vulnerability Management",120,200,0.6,2
"14383","63","Cyber Security Governance & Risk Management, Cyber Security Governance & Risk Management (Industrial Control Systems)",0,0,NA,2
"14384","63","Cyber Security Governance & Risk Management, Cyber Security Management",90,250.21,0.359697853802806,2
