id,Specialism,reference_sum,test_sum,alignment_index,alignment_type
35,Digital Forensics (Industrial Control Systems),570,336.5,0.5903508771929824,personal
35,Identity & Access Management,510,416.9200000000001,0.8174901960784315,personal
35,Incident response,330,258.07,0.782030303030303,personal
35,Incident response (Industrial Control Systems),420,322.41999999999996,0.7676666666666666,personal
35,Network Monitoring & Intrusion Detection,270,215.79999999999998,0.7992592592592592,personal
35,Secure Operations,420,309.82,0.7376666666666667,personal
35,Secure Operations (Industrial control systems),480,369.82,0.7704583333333334,personal
35,Secure System Architecture & Design,540,188.31,0.3487222222222222,personal
35,Secure System Architecture & Design (Industrial Control Systems),630,252.66,0.40104761904761904,personal
35,Secure System Development,540,188.31,0.3487222222222222,personal
35,Secure System Development (Industrial Control Systems),630,252.66,0.40104761904761904,personal
35,Security Testing,510,267.03999999999996,0.5236078431372548,personal
35,Vulnerability Management,390,329.58000000000004,0.8450769230769232,personal
36,Cryptography & Communications Security (Cryptographer),450,152.96,0.3399111111111111,personal
36,Cryptography & Communications Security (Secure Communications Operator),420,152.96,0.36419047619047623,personal
36,Cyber Security Audit & Assurance,360,322.16999999999996,0.8949166666666666,personal
36,Cyber Security Governance & Risk Management,240,215.53,0.8980416666666666,personal
36,Cyber Security Governance & Risk Management (Industrial Control Systems),300,227.05,0.7568333333333334,personal
36,Cyber Security Management,870,586.25,0.6738505747126436,personal
36,Cyber Threat Intelligence,420,300.01,0.7143095238095238,personal
36,Data Protection & Privacy,330,275.75,0.8356060606060606,personal
36,Digital Forensics,480,275.66,0.5742916666666668,personal
36,Digital Forensics (Industrial Control Systems),570,287.18,0.5038245614035087,personal
36,Identity & Access Management,510,289.57,0.5677843137254902,personal
36,Incident response,330,232.25,0.7037878787878787,personal
36,Incident response (Industrial Control Systems),420,243.77,0.580404761904762,personal
36,Network Monitoring & Intrusion Detection,270,135.20999999999998,0.5007777777777777,personal
36,Secure Operations,420,200.88,0.47828571428571426,personal
36,Secure Operations (Industrial control systems),480,212.4,0.4425,personal
36,Secure System Architecture & Design,540,97.26999999999998,0.18012962962962958,personal
36,Secure System Architecture & Design (Industrial Control Systems),630,108.78999999999998,0.17268253968253966,personal
36,Secure System Development,540,97.26999999999998,0.18012962962962958,personal
36,Secure System Development (Industrial Control Systems),630,108.78999999999998,0.17268253968253966,personal
36,Security Testing,510,183.15,0.35911764705882354,personal
36,Vulnerability Management,390,223.60999999999999,0.5733589743589743,personal
37,Cryptography & Communications Security (Cryptographer),450,243.23,0.540511111111111,personal
37,Cryptography & Communications Security (Secure Communications Operator),420,243.23,0.5791190476190476,personal
37,Cyber Security Audit & Assurance,360,286.71,0.7964166666666667,personal
37,Cyber Security Governance & Risk Management,240,200.29,0.8345416666666666,personal
37,Cyber Security Governance & Risk Management (Industrial Control Systems),300,249.39999999999998,0.8313333333333333,personal
37,Cyber Security Management,870,622.3500000000001,0.7153448275862071,personal
37,Cyber Threat Intelligence,420,246.07,0.5858809523809524,personal
37,Data Protection & Privacy,330,257.31,0.7797272727272727,personal
37,Digital Forensics,480,250.90999999999997,0.5227291666666666,personal
37,Digital Forensics (Industrial Control Systems),570,300.02,0.5263508771929825,personal
37,Identity & Access Management,510,327.81999999999994,0.64278431372549,personal
37,Incident response,330,188.30999999999997,0.5706363636363636,personal
37,Incident response (Industrial Control Systems),420,237.41999999999996,0.5652857142857142,personal
37,Network Monitoring & Intrusion Detection,270,167.91,0.6218888888888888,personal
37,Secure Operations,420,280.22,0.6671904761904762,personal
37,Secure Operations (Industrial control systems),480,329.33000000000004,0.6861041666666667,personal
37,Secure System Architecture & Design,540,188.98999999999998,0.34998148148148145,personal
37,Secure System Architecture & Design (Industrial Control Systems),630,238.09999999999997,0.3779365079365079,personal
37,Secure System Development,540,188.98999999999998,0.34998148148148145,personal
37,Secure System Development (Industrial Control Systems),630,238.09999999999997,0.3779365079365079,personal
37,Security Testing,510,247.65999999999997,0.48560784313725486,personal
37,Vulnerability Management,390,226.17,0.5799230769230769,personal
38,Cryptography & Communications Security (Cryptographer),450,27.98,0.062177777777777776,personal
38,Cryptography & Communications Security (Secure Communications Operator),420,27.98,0.06661904761904762,personal
38,Cyber Security Audit & Assurance,360,104.8,0.2911111111111111,personal
38,Cyber Security Governance & Risk Management,240,76.64,0.31933333333333336,personal
38,Cyber Security Governance & Risk Management (Industrial Control Systems),300,83.09,0.2769666666666667,personal
38,Cyber Security Management,870,190.67999999999998,0.21917241379310343,personal
38,Cyber Threat Intelligence,420,103.02,0.24528571428571427,personal
38,Data Protection & Privacy,330,69.96000000000001,0.21200000000000002,personal
38,Digital Forensics,480,96.69999999999999,0.20145833333333332,personal
38,Digital Forensics (Industrial Control Systems),570,103.14999999999999,0.18096491228070175,personal
38,Identity & Access Management,510,70.74000000000001,0.1387058823529412,personal
38,Incident response,330,114.82,0.34793939393939394,personal
38,Incident response (Industrial Control Systems),420,121.27,0.28873809523809524,personal
38,Network Monitoring & Intrusion Detection,270,73.94,0.27385185185185185,personal
38,Secure Operations,420,138.14,0.32890476190476187,personal
38,Secure Operations (Industrial control systems),480,144.58999999999997,0.3012291666666666,personal
38,Secure System Architecture & Design,540,22.22,0.04114814814814815,personal
38,Secure System Architecture & Design (Industrial Control Systems),630,28.669999999999998,0.045507936507936504,personal
38,Secure System Development,540,22.22,0.04114814814814815,personal
38,Secure System Development (Industrial Control Systems),630,28.669999999999998,0.045507936507936504,personal
38,Security Testing,510,42.66,0.08364705882352941,personal
38,Vulnerability Management,390,86.69999999999999,0.2223076923076923,personal
39,Cryptography & Communications Security (Cryptographer),450,396.33000000000004,0.8807333333333335,personal
39,Cryptography & Communications Security (Secure Communications Operator),420,396.33000000000004,0.9436428571428572,personal
39,Cyber Security Audit & Assurance,360,349.97,0.972138888888889,personal
39,Cyber Security Governance & Risk Management,240,240,1,personal
39,Cyber Security Governance & Risk Management (Industrial Control Systems),300,300,1,personal
39,Cyber Security Management,870,859.97,0.9884712643678161,personal
39,Cyber Threat Intelligence,420,420,1,personal
39,Data Protection & Privacy,330,319.97,0.9696060606060607,personal
39,Digital Forensics,480,429.02,0.8937916666666667,personal
39,Digital Forensics (Industrial Control Systems),570,519.02,0.9105614035087719,personal
39,Identity & Access Management,510,501.29,0.9829215686274511,personal
39,Incident response,330,330,1,personal
39,Incident response (Industrial Control Systems),420,420,1,personal
39,Network Monitoring & Intrusion Detection,270,270,1,personal
39,Secure Operations,420,420,1,personal
39,Secure Operations (Industrial control systems),480,480,1,personal
39,Secure System Architecture & Design,540,466.66,0.8641851851851853,personal
39,Secure System Architecture & Design (Industrial Control Systems),630,556.6600000000001,0.8835873015873017,personal
39,Secure System Development,540,466.66,0.8641851851851853,personal
39,Secure System Development (Industrial Control Systems),630,556.6600000000001,0.8835873015873017,personal
39,Security Testing,510,439.05,0.8608823529411765,personal
39,Vulnerability Management,390,383.68,0.9837948717948718,personal
40,Cryptography & Communications Security (Cryptographer),450,69.41000000000001,0.15424444444444446,personal
40,Cryptography & Communications Security (Secure Communications Operator),420,69.41000000000001,0.16526190476190478,personal
40,Cyber Security Audit & Assurance,360,246.52,0.6847777777777778,personal
40,Cyber Security Governance & Risk Management,240,171.07,0.7127916666666666,personal
40,Cyber Security Governance & Risk Management (Industrial Control Systems),300,172.29999999999998,0.5743333333333333,personal
40,Cyber Security Management,870,344.32,0.39577011494252873,personal
40,Cyber Threat Intelligence,420,228.78000000000003,0.5447142857142858,personal
40,Data Protection & Privacy,330,135.41,0.41033333333333333,personal
40,Digital Forensics,480,166.17000000000002,0.34618750000000004,personal
40,Digital Forensics (Industrial Control Systems),570,167.4,0.2936842105263158,personal
40,Identity & Access Management,510,197.23000000000002,0.3867254901960785,personal
40,Incident response,330,186.43,0.564939393939394,personal
40,Incident response (Industrial Control Systems),420,187.66,0.4468095238095238,personal
40,Network Monitoring & Intrusion Detection,270,96.94000000000001,0.3590370370370371,personal
40,Secure Operations,420,144.4,0.34380952380952384,personal
40,Secure Operations (Industrial control systems),480,145.63,0.3033958333333333,personal
40,Secure System Architecture & Design,540,41.83,0.07746296296296296,personal
40,Secure System Architecture & Design (Industrial Control Systems),630,43.059999999999995,0.06834920634920634,personal
40,Secure System Development,540,41.83,0.07746296296296296,personal
40,Secure System Development (Industrial Control Systems),630,43.059999999999995,0.06834920634920634,personal
40,Security Testing,510,83.09,0.162921568627451,personal
40,Vulnerability Management,390,169.97,0.4358205128205128,personal
41,Cryptography & Communications Security (Cryptographer),450,342.82,0.7618222222222222,personal
41,Cryptography & Communications Security (Secure Communications Operator),420,342.82,0.8162380952380952,personal
41,Cyber Security Audit & Assurance,360,360,1,personal
41,Cyber Security Governance & Risk Management,240,240,1,personal
41,Cyber Security Governance & Risk Management (Industrial Control Systems),300,300,1,personal
41,Cyber Security Management,870,810.99,0.9321724137931034,personal
41,Cyber Threat Intelligence,420,333.86,0.7949047619047619,personal
41,Data Protection & Privacy,330,324.22,0.9824848484848485,personal
41,Digital Forensics,480,407.7,0.849375,personal
41,Digital Forensics (Industrial Control Systems),570,492.75,0.8644736842105263,personal
41,Identity & Access Management,510,386.4,0.7576470588235293,personal
41,Incident response,330,298.98,0.906,personal
41,Incident response (Industrial Control Systems),420,384.03000000000003,0.914357142857143,personal
41,Network Monitoring & Intrusion Detection,270,230,0.8518518518518519,personal
41,Secure Operations,420,350.01,0.8333571428571428,personal
41,Secure Operations (Industrial control systems),480,410.01,0.8541875,personal
41,Secure System Architecture & Design,540,423.04,0.7834074074074074,personal
41,Secure System Architecture & Design (Industrial Control Systems),630,508.09000000000003,0.8064920634920636,personal
41,Secure System Development,540,423.04,0.7834074074074074,personal
41,Secure System Development (Industrial Control Systems),630,508.09000000000003,0.8064920634920636,personal
41,Security Testing,510,417.28,0.8181960784313725,personal
41,Vulnerability Management,390,332.03,0.8513589743589743,personal
42,Cryptography & Communications Security (Cryptographer),450,56.72999999999999,0.12606666666666663,personal
42,Cryptography & Communications Security (Secure Communications Operator),420,56.72999999999999,0.13507142857142854,personal
42,Cyber Security Audit & Assurance,360,70.2,0.195,personal
42,Cyber Security Governance & Risk Management,240,50.14,0.20891666666666667,personal
42,Cyber Security Governance & Risk Management (Industrial Control Systems),300,67.62,0.22540000000000002,personal
42,Cyber Security Management,870,164.77,0.18939080459770116,personal
42,Cyber Threat Intelligence,420,57.309999999999995,0.13645238095238094,personal
42,Data Protection & Privacy,330,54.15,0.1640909090909091,personal
42,Digital Forensics,480,56.449999999999996,0.11760416666666666,personal
42,Digital Forensics (Industrial Control Systems),570,73.92999999999999,0.1297017543859649,personal
42,Identity & Access Management,510,82.23999999999998,0.16125490196078426,personal
42,Incident response,330,51.589999999999996,0.15633333333333332,personal
42,Incident response (Industrial Control Systems),420,69.07,0.16445238095238093,personal
42,Network Monitoring & Intrusion Detection,270,34.39,0.12737037037037038,personal
42,Secure Operations,420,63.61999999999999,0.15147619047619046,personal
42,Secure Operations (Industrial control systems),480,81.1,0.16895833333333332,personal
42,Secure System Architecture & Design,540,40.4,0.0748148148148148,personal
42,Secure System Architecture & Design (Industrial Control Systems),630,57.879999999999995,0.09187301587301587,personal
42,Secure System Development,540,40.4,0.0748148148148148,personal
42,Secure System Development (Industrial Control Systems),630,57.879999999999995,0.09187301587301587,personal
42,Security Testing,510,48.42,0.09494117647058824,personal
42,Vulnerability Management,390,51.870000000000005,0.133,personal
43,Cryptography & Communications Security (Cryptographer),450,446.28,0.9917333333333332,personal
43,Cryptography & Communications Security (Secure Communications Operator),420,420,1,personal
43,Cyber Security Audit & Assurance,360,317.86,0.8829444444444445,personal
43,Cyber Security Governance & Risk Management,240,227.86,0.9494166666666667,personal
43,Cyber Security Governance & Risk Management (Industrial Control Systems),300,287.86,0.9595333333333333,personal
43,Cyber Security Management,870,827.86,0.9515632183908046,personal
43,Cyber Threat Intelligence,420,410.89,0.9783095238095237,personal
43,Data Protection & Privacy,330,290.89,0.8814848484848484,personal
43,Digital Forensics,480,413.94,0.862375,personal
43,Digital Forensics (Industrial Control Systems),570,503.94,0.8841052631578947,personal
43,Identity & Access Management,510,465.4,0.9125490196078431,personal
43,Incident response,330,330,1,personal
43,Incident response (Industrial Control Systems),420,420,1,personal
43,Network Monitoring & Intrusion Detection,270,270,1,personal
43,Secure Operations,420,420,1,personal
43,Secure Operations (Industrial control systems),480,480,1,personal
43,Secure System Architecture & Design,540,443.89,0.8220185185185185,personal
43,Secure System Architecture & Design (Industrial Control Systems),630,533.89,0.8474444444444444,personal
43,Secure System Development,540,443.89,0.8220185185185185,personal
43,Secure System Development (Industrial Control Systems),630,533.89,0.8474444444444444,personal
43,Security Testing,510,404.78,0.7936862745098039,personal
43,Vulnerability Management,390,345.4,0.8856410256410255,personal
44,Cryptography & Communications Security (Cryptographer),450,30,0.06666666666666667,personal
44,Cryptography & Communications Security (Secure Communications Operator),420,30,0.07142857142857142,personal
44,Cyber Security Audit & Assurance,360,106.95,0.29708333333333337,personal
44,Cyber Security Governance & Risk Management,240,60,0.25,personal
44,Cyber Security Governance & Risk Management (Industrial Control Systems),300,60,0.2,personal
44,Cyber Security Management,870,106.95,0.12293103448275862,personal
44,Cyber Threat Intelligence,420,128.31,0.3055,personal
44,Data Protection & Privacy,330,76.95,0.23318181818181818,personal
44,Digital Forensics,480,136.95,0.28531249999999997,personal
44,Digital Forensics (Industrial Control Systems),570,136.95,0.24026315789473682,personal
44,Identity & Access Management,510,60,0.11764705882352941,personal
44,Incident response,330,60,0.18181818181818182,personal
44,Incident response (Industrial Control Systems),420,60,0.14285714285714285,personal
44,Network Monitoring & Intrusion Detection,270,30,0.1111111111111111,personal
44,Secure Operations,420,0,0,personal
44,Secure Operations (Industrial control systems),480,0,0,personal
44,Secure System Architecture & Design,540,0,0,personal
44,Secure System Architecture & Design (Industrial Control Systems),630,0,0,personal
44,Secure System Development,540,0,0,personal
44,Secure System Development (Industrial Control Systems),630,0,0,personal
44,Security Testing,510,90,0.17647058823529413,personal
44,Vulnerability Management,390,60,0.15384615384615385,personal
45,Cryptography & Communications Security (Cryptographer),450,132.04999999999998,0.2934444444444444,personal
45,Cryptography & Communications Security (Secure Communications Operator),420,132.04999999999998,0.31440476190476185,personal
45,Cyber Security Audit & Assurance,360,260.33,0.7231388888888889,personal
45,Cyber Security Governance & Risk Management,240,194.12,0.8088333333333334,personal
